corpus,doc_id,chunk_id,assigned_corpus,assignment_score
Project2025,project2025,c0053,Project2025,0.7080514051887395
Project2025,project2025,c0054,Project2025,0.712438200572143
Project2025,project2025,c0055,Project2025,0.7432294127071121
Project2025,project2025,c0056,Project2025,0.7219446570846525
Project2025,project2025,c0057,Project2025,0.7678956006579545
Project2025,project2025,c0058,Project2025,0.7950868564757742
Project2025,project2025,c0059,Project2025,0.6534443652661955
Project2025,project2025,c0060,Project2025,0.6923980915909764
Project2025,project2025,c0061,Project2025,0.7545139737722447
Project2025,project2025,c0062,Project2025,0.7632681574533221
Project2025,project2025,c0063,Project2025,0.7823713305473587
Project2025,project2025,c0064,Project2025,0.7629883996953923
Project2025,project2025,c0065,Project2025,0.6844380369609284
Project2025,project2025,c0066,Project2025,0.7199560526986499
Project2025,project2025,c0067,Project2025,0.7703340923742008
Project2025,project2025,c0068,Project2025,0.7038711248630936
Project2025,project2025,c0069,Project2025,0.7885225517547904
Project2025,project2025,c0070,Project2025,0.7614477809179083
Project2025,project2025,c0071,Project2025,0.6642824326334718
Project2025,project2025,c0072,Project2025,0.7111897365082572
Project2025,project2025,c0073,Project2025,0.7589704350834404
Project2025,project2025,c0074,Project2025,0.7712783843297446
Project2025,project2025,c0075,Project2025,0.7893927378440346
Project2025,project2025,c0076,Project2025,0.753351305136782
Project2025,project2025,c0077,Project2025,0.7222451900246161
Project2025,project2025,c0078,Project2025,0.6977646525001522
Project2025,project2025,c0079,Project2025,0.7104212433662492
Project2025,project2025,c0080,Project2025,0.7053720953747045
Project2025,project2025,c0081,Project2025,0.7592891826618569
Project2025,project2025,c0082,Project2025,0.6363687305522469
Project2025,project2025,c0083,Project2025,0.48454303821644434
Project2025,project2025,c0084,Project2025,0.6531511296852565
Project2025,project2025,c0085,Project2025,0.6628617531449152
Project2025,project2025,c0086,Project2025,0.682821270585668
Project2025,project2025,c0087,Project2025,0.736077621219674
Project2025,project2025,c0088,Project2025,0.6501906143833565
Project2025,project2025,c0089,Project2025,0.5031564491353452
Project2025,project2025,c0090,Project2025,0.7586153107517851
Project2025,project2025,c0091,Project2025,0.7148515421968152
Project2025,project2025,c0092,Project2025,0.6700230052304422
Project2025,project2025,c0093,Project2025,0.7461344703569273
Project2025,project2025,c0094,Project2025,0.7372316349162568
