corpus,doc_id,chunk_id,word_count,unique_word_count,avg_word_len,mattr,yules_k,hapax_rate,sentence_count,avg_sentence_len,sentence_len_sd,commas_per_sentence,semicolons_per_sentence,commas_per_1000w,semicolons_per_1000w,fw_the,fw_of,fw_and,fw_to,fw_a,fw_in,fw_that,fw_is,fw_for,fw_it,fw_on,fw_with,fw_as,fw_was,fw_are,fw_be,fw_at,fw_by,fw_this,fw_from,fw_or,fw_an,fw_which,fw_but,fw_not,fw_have,fw_has,fw_had,fw_they,fw_you,fw_we,fw_i,fw_he,fw_she,fw_his,fw_her,fw_their,fw_our,fw_its,fw_will,fw_would,fw_can,fw_could,fw_should,fw_may,fw_might,fw_do,fw_does,fw_did,fw_so,fw_if,fw_than,fw_then,fw_there,fw_here,punct_commas_per_1000w,punct_semicolons_per_1000w,punct_colons_per_1000w,punct_question_marks_per_1000w,punct_exclamation_marks_per_1000w,punct_hyphens_per_1000w,punct_em_dashes_per_1000w,punct_ellipses_per_1000w,punct_quotes_double_per_1000w,punct_quotes_single_per_1000w,punct_parentheses_per_1000w
Project2025,project2025,c0151,1200,320,4.751666666666667,0.3164393723252496,112.18055555555556,0.13083333333333333,1,1200.0,,0.0,0.0,0.0,0.0,0.021666666666666667,0.018333333333333333,0.014166666666666666,0.005,0.0016666666666666668,0.0025,0.0025,0.0,0.004166666666666667,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0008333333333333334,0.0,0.0016666666666666668,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0152,1200,557,5.006666666666667,0.5483937232524964,58.083333333333336,0.30333333333333334,1,1200.0,,0.0,0.0,0.0,0.0,0.025833333333333333,0.030833333333333334,0.041666666666666664,0.016666666666666666,0.005,0.005,0.008333333333333333,0.0025,0.008333333333333333,0.0016666666666666668,0.005,0.0016666666666666668,0.005833333333333334,0.0008333333333333334,0.004166666666666667,0.0016666666666666668,0.0025,0.0016666666666666668,0.0016666666666666668,0.005,0.004166666666666667,0.0,0.0008333333333333334,0.0,0.004166666666666667,0.0008333333333333334,0.0016666666666666668,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0008333333333333334,0.0008333333333333334,0.0033333333333333335,0.0016666666666666668,0.0016666666666666668,0.0,0.0008333333333333334,0.0,0.0,0.004166666666666667,0.005833333333333334,0.0,0.0016666666666666668,0.0008333333333333334,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0153,1200,579,5.525833333333333,0.5698801711840228,86.98611111111111,0.3541666666666667,1,1200.0,,0.0,0.0,0.0,0.0,0.0525,0.03166666666666667,0.0475,0.019166666666666665,0.015833333333333335,0.009166666666666667,0.01,0.0075,0.015833333333333335,0.0033333333333333335,0.006666666666666667,0.005833333333333334,0.0025,0.0033333333333333335,0.006666666666666667,0.0125,0.0008333333333333334,0.006666666666666667,0.0025,0.009166666666666667,0.006666666666666667,0.0016666666666666668,0.0016666666666666668,0.0008333333333333334,0.005,0.0033333333333333335,0.0025,0.0,0.0033333333333333335,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0033333333333333335,0.004166666666666667,0.0025,0.0008333333333333334,0.0016666666666666668,0.0008333333333333334,0.0125,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0154,1200,548,5.3725,0.558188302425107,95.125,0.325,1,1200.0,,0.0,0.0,0.0,0.0,0.05,0.030833333333333334,0.04666666666666667,0.028333333333333332,0.021666666666666667,0.011666666666666667,0.016666666666666666,0.0075,0.010833333333333334,0.009166666666666667,0.006666666666666667,0.005,0.0075,0.0016666666666666668,0.006666666666666667,0.009166666666666667,0.0033333333333333335,0.009166666666666667,0.0033333333333333335,0.008333333333333333,0.008333333333333333,0.0,0.0016666666666666668,0.0016666666666666668,0.008333333333333333,0.0025,0.0025,0.0,0.0025,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.005833333333333334,0.0016666666666666668,0.0,0.0025,0.0016666666666666668,0.019166666666666665,0.0008333333333333334,0.0,0.0025,0.0016666666666666668,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0155,1200,573,5.509166666666666,0.5416462196861627,85.15277777777777,0.3541666666666667,1,1200.0,,0.0,0.0,0.0,0.0,0.05333333333333334,0.029166666666666667,0.03833333333333333,0.029166666666666667,0.016666666666666666,0.010833333333333334,0.0125,0.004166666666666667,0.01,0.0025,0.005833333333333334,0.009166666666666667,0.0075,0.0016666666666666668,0.005833333333333334,0.008333333333333333,0.0016666666666666668,0.009166666666666667,0.0008333333333333334,0.005833333333333334,0.004166666666666667,0.0033333333333333335,0.005,0.0016666666666666668,0.0025,0.0025,0.005,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.005833333333333334,0.0008333333333333334,0.0033333333333333335,0.0033333333333333335,0.0,0.015,0.0,0.0008333333333333334,0.0008333333333333334,0.0016666666666666668,0.0,0.0,0.0,0.005833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0156,1200,550,5.365833333333334,0.5484736091298146,94.59722222222223,0.31833333333333336,1,1200.0,,0.0,0.0,0.0,0.0,0.056666666666666664,0.025,0.043333333333333335,0.034166666666666665,0.011666666666666667,0.015833333333333335,0.02,0.01,0.015,0.0025,0.005,0.0033333333333333335,0.004166666666666667,0.0025,0.0075,0.0025,0.0025,0.0075,0.006666666666666667,0.006666666666666667,0.005,0.004166666666666667,0.0033333333333333335,0.0025,0.0075,0.0025,0.005,0.0008333333333333334,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0025,0.0,0.0008333333333333334,0.0,0.0,0.013333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0157,1200,603,5.520833333333333,0.5820656205420827,77.79166666666667,0.36916666666666664,1,1200.0,,0.0,0.0,0.0,0.0,0.04583333333333333,0.0275,0.043333333333333335,0.028333333333333332,0.011666666666666667,0.0125,0.013333333333333334,0.0025,0.0125,0.0025,0.013333333333333334,0.006666666666666667,0.0025,0.0016666666666666668,0.0075,0.011666666666666667,0.0033333333333333335,0.005,0.0033333333333333335,0.0075,0.0075,0.0008333333333333334,0.0033333333333333335,0.0,0.006666666666666667,0.004166666666666667,0.0016666666666666668,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0008333333333333334,0.0008333333333333334,0.0016666666666666668,0.0025,0.0008333333333333334,0.0,0.015833333333333335,0.0008333333333333334,0.0,0.0,0.0025,0.0,0.0016666666666666668,0.0008333333333333334,0.0033333333333333335,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0158,1200,502,5.586666666666667,0.526564907275321,91.77777777777777,0.275,1,1200.0,,0.0,0.0,0.0,0.0,0.05416666666666667,0.0275,0.03666666666666667,0.0325,0.019166666666666665,0.014166666666666666,0.014166666666666666,0.011666666666666667,0.0125,0.004166666666666667,0.005,0.0075,0.005,0.0,0.006666666666666667,0.01,0.0025,0.0008333333333333334,0.0025,0.0025,0.004166666666666667,0.0016666666666666668,0.005,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005833333333333334,0.0008333333333333334,0.0008333333333333334,0.0016666666666666668,0.0,0.0008333333333333334,0.0,0.015833333333333335,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0008333333333333334,0.0,0.005,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0159,1200,527,5.666666666666667,0.5387960057061342,86.79166666666667,0.27,1,1200.0,,0.0,0.0,0.0,0.0,0.04833333333333333,0.03,0.04083333333333333,0.035833333333333335,0.0075,0.015,0.011666666666666667,0.005,0.023333333333333334,0.0016666666666666668,0.006666666666666667,0.004166666666666667,0.0025,0.0,0.0016666666666666668,0.0025,0.0016666666666666668,0.0016666666666666668,0.005,0.005,0.0025,0.004166666666666667,0.0008333333333333334,0.0016666666666666668,0.0033333333333333335,0.0016666666666666668,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.005,0.0,0.0016666666666666668,0.0016666666666666668,0.0008333333333333334,0.0016666666666666668,0.0008333333333333334,0.0175,0.0008333333333333334,0.0,0.0008333333333333334,0.0008333333333333334,0.0008333333333333334,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0160,1200,465,5.489166666666667,0.48265905848787444,96.56944444444444,0.245,1,1200.0,,0.0,0.0,0.0,0.0,0.04583333333333333,0.034166666666666665,0.034166666666666665,0.04,0.01,0.023333333333333334,0.025833333333333333,0.0033333333333333335,0.01,0.004166666666666667,0.0033333333333333335,0.005,0.0008333333333333334,0.0008333333333333334,0.006666666666666667,0.0075,0.0,0.0016666666666666668,0.006666666666666667,0.008333333333333333,0.005,0.0008333333333333334,0.0025,0.0008333333333333334,0.005,0.0,0.0008333333333333334,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0033333333333333335,0.0008333333333333334,0.0016666666666666668,0.0,0.0016666666666666668,0.018333333333333333,0.0008333333333333334,0.0008333333333333334,0.0025,0.0016666666666666668,0.0,0.0008333333333333334,0.0008333333333333334,0.004166666666666667,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0161,1200,545,5.225833333333333,0.5402139800285307,75.20833333333333,0.32083333333333336,1,1200.0,,0.0,0.0,0.0,0.0,0.041666666666666664,0.025833333333333333,0.04083333333333333,0.025,0.014166666666666666,0.019166666666666665,0.010833333333333334,0.006666666666666667,0.0175,0.0008333333333333334,0.006666666666666667,0.005833333333333334,0.009166666666666667,0.0016666666666666668,0.005,0.0125,0.0075,0.0033333333333333335,0.005833333333333334,0.0033333333333333335,0.009166666666666667,0.0025,0.0008333333333333334,0.0016666666666666668,0.005833333333333334,0.005833333333333334,0.0008333333333333334,0.0025,0.004166666666666667,0.0,0.0,0.0,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.005,0.0,0.0,0.0008333333333333334,0.0016666666666666668,0.0025,0.0,0.016666666666666666,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0025,0.0025,0.0016666666666666668,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0162,1200,525,5.236666666666666,0.5133038516405136,88.22222222222223,0.2966666666666667,1,1200.0,,0.0,0.0,0.0,0.0,0.04416666666666667,0.03333333333333333,0.03916666666666667,0.03666666666666667,0.015833333333333335,0.015,0.011666666666666667,0.0075,0.015833333333333335,0.0016666666666666668,0.004166666666666667,0.0075,0.005833333333333334,0.0,0.005,0.011666666666666667,0.0025,0.005,0.004166666666666667,0.0033333333333333335,0.008333333333333333,0.0,0.0008333333333333334,0.0,0.0033333333333333335,0.005833333333333334,0.0016666666666666668,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0033333333333333335,0.0,0.004166666666666667,0.0016666666666666668,0.0025,0.014166666666666666,0.0008333333333333334,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0163,1200,526,5.354166666666667,0.5355406562054208,87.61111111111111,0.2966666666666667,1,1200.0,,0.0,0.0,0.0,0.0,0.0425,0.0325,0.04416666666666667,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.013333333333333334,0.01,0.015833333333333335,0.0033333333333333335,0.004166666666666667,0.005833333333333334,0.0008333333333333334,0.0,0.006666666666666667,0.0125,0.004166666666666667,0.0025,0.0025,0.004166666666666667,0.010833333333333334,0.0016666666666666668,0.004166666666666667,0.0008333333333333334,0.004166666666666667,0.0016666666666666668,0.0016666666666666668,0.0008333333333333334,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005833333333333334,0.0,0.0033333333333333335,0.0,0.0,0.0025,0.0008333333333333334,0.015833333333333335,0.0008333333333333334,0.0,0.0008333333333333334,0.0008333333333333334,0.0,0.0008333333333333334,0.0,0.0025,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0164,1200,493,5.5008333333333335,0.4849700427960057,84.375,0.265,1,1200.0,,0.0,0.0,0.0,0.0,0.050833333333333335,0.024166666666666666,0.035833333333333335,0.030833333333333334,0.006666666666666667,0.011666666666666667,0.019166666666666665,0.009166666666666667,0.015833333333333335,0.0025,0.004166666666666667,0.010833333333333334,0.006666666666666667,0.0008333333333333334,0.0075,0.0025,0.0008333333333333334,0.005833333333333334,0.0075,0.005833333333333334,0.005,0.0033333333333333335,0.005,0.0,0.006666666666666667,0.0016666666666666668,0.005833333333333334,0.0008333333333333334,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.004166666666666667,0.0,0.004166666666666667,0.0,0.0008333333333333334,0.0016666666666666668,0.0016666666666666668,0.01,0.0,0.0008333333333333334,0.0025,0.0008333333333333334,0.0,0.0008333333333333334,0.0008333333333333334,0.0033333333333333335,0.0016666666666666668,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0165,1200,548,5.381666666666667,0.5494008559201141,96.11111111111111,0.32166666666666666,1,1200.0,,0.0,0.0,0.0,0.0,0.05416666666666667,0.029166666666666667,0.045,0.03666666666666667,0.01,0.015833333333333335,0.011666666666666667,0.006666666666666667,0.015833333333333335,0.0008333333333333334,0.008333333333333333,0.008333333333333333,0.010833333333333334,0.0008333333333333334,0.006666666666666667,0.004166666666666667,0.0033333333333333335,0.009166666666666667,0.0016666666666666668,0.0025,0.009166666666666667,0.004166666666666667,0.0016666666666666668,0.0008333333333333334,0.0016666666666666668,0.0008333333333333334,0.0,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0008333333333333334,0.005833333333333334,0.0008333333333333334,0.0025,0.0008333333333333334,0.0016666666666666668,0.0008333333333333334,0.0008333333333333334,0.011666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
